State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2010,Rabi,Maize,3.84,18.22
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,Maize,86.7,96.4
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,Maize,73,253
Andhra Pradesh,ANANTAPUR,1997,Kharif,Maize,2800,4900
Andhra Pradesh,ANANTAPUR,1997,Rabi,Maize,600,2400
Andhra Pradesh,ANANTAPUR,1998,Kharif,Maize,3300,6700
Andhra Pradesh,ANANTAPUR,1998,Rabi,Maize,300,1600
Andhra Pradesh,ANANTAPUR,1999,Kharif,Maize,3358,9540
Andhra Pradesh,ANANTAPUR,1999,Rabi,Maize,455,2203
Andhra Pradesh,ANANTAPUR,2000,Kharif,Maize,3475,9049
Andhra Pradesh,ANANTAPUR,2000,Rabi,Maize,399,2148
Andhra Pradesh,ANANTAPUR,2001,Kharif,Maize,2667,7129
Andhra Pradesh,ANANTAPUR,2001,Rabi,Maize,447,2893
Andhra Pradesh,ANANTAPUR,2002,Kharif,Maize,3541,3431
Andhra Pradesh,ANANTAPUR,2002,Rabi,Maize,1288,8933
Andhra Pradesh,ANANTAPUR,2003,Kharif,Maize,6246,10718
Andhra Pradesh,ANANTAPUR,2003,Rabi,Maize,1212,6787
Andhra Pradesh,ANANTAPUR,2004,Kharif,Maize,3495,10031
Andhra Pradesh,ANANTAPUR,2004,Rabi,Maize,3572,25822
Andhra Pradesh,ANANTAPUR,2005,Kharif,Maize,5958,21538
Andhra Pradesh,ANANTAPUR,2005,Rabi,Maize,1435,10721
Andhra Pradesh,ANANTAPUR,2006,Kharif,Maize,4877,20181
Andhra Pradesh,ANANTAPUR,2006,Rabi,Maize,3120,23640
Andhra Pradesh,ANANTAPUR,2007,Kharif,Maize,7000,32000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Maize,6000,48000
Andhra Pradesh,ANANTAPUR,2008,Kharif,Maize,6041,20896
Andhra Pradesh,ANANTAPUR,2008,Rabi,Maize,3658,32300
Andhra Pradesh,ANANTAPUR,2009,Kharif,Maize,8852,43924
Andhra Pradesh,ANANTAPUR,2009,Rabi,Maize,4615,33736
Andhra Pradesh,ANANTAPUR,2010,Kharif,Maize,10726,51174
Andhra Pradesh,ANANTAPUR,2010,Rabi,Maize,4750,43306
Andhra Pradesh,ANANTAPUR,2011,Kharif,Maize,25447,63465
Andhra Pradesh,ANANTAPUR,2011,Rabi,Maize,6208,48168
Andhra Pradesh,ANANTAPUR,2012,Kharif,Maize,22039,63516
Andhra Pradesh,ANANTAPUR,2012,Rabi,Maize,7070,50098
Andhra Pradesh,ANANTAPUR,2013,Kharif,Maize,27087,53226
Andhra Pradesh,ANANTAPUR,2013,Rabi,Maize,7777,57970
Andhra Pradesh,ANANTAPUR,2014,Kharif,Maize,16839,42687
Andhra Pradesh,ANANTAPUR,2014,Rabi,Maize,4474,31618
Andhra Pradesh,CHITTOOR,1997,Kharif,Maize,100,300
Andhra Pradesh,CHITTOOR,1998,Kharif,Maize,100,300
Andhra Pradesh,CHITTOOR,1998,Rabi,Maize,100,300
Andhra Pradesh,CHITTOOR,1999,Kharif,Maize,181,514
Andhra Pradesh,CHITTOOR,1999,Rabi,Maize,67,324
Andhra Pradesh,CHITTOOR,2000,Kharif,Maize,357,930
Andhra Pradesh,CHITTOOR,2000,Rabi,Maize,56,302
Andhra Pradesh,CHITTOOR,2001,Kharif,Maize,294,786
Andhra Pradesh,CHITTOOR,2001,Rabi,Maize,81,524
Andhra Pradesh,CHITTOOR,2002,Kharif,Maize,261,253
Andhra Pradesh,CHITTOOR,2002,Rabi,Maize,284,1968
Andhra Pradesh,CHITTOOR,2003,Kharif,Maize,742,1273
Andhra Pradesh,CHITTOOR,2003,Rabi,Maize,392,2195
Andhra Pradesh,CHITTOOR,2004,Kharif,Maize,509,1461
Andhra Pradesh,CHITTOOR,2004,Rabi,Maize,354,2559
Andhra Pradesh,CHITTOOR,2005,Kharif,Maize,417,2150
Andhra Pradesh,CHITTOOR,2005,Rabi,Maize,356,2660
Andhra Pradesh,CHITTOOR,2006,Kharif,Maize,386,1378
Andhra Pradesh,CHITTOOR,2006,Rabi,Maize,788,5971
Andhra Pradesh,CHITTOOR,2007,Kharif,Maize,1000,3000
Andhra Pradesh,CHITTOOR,2007,Rabi,Maize,1000,4000
Andhra Pradesh,CHITTOOR,2008,Kharif,Maize,843,3937
Andhra Pradesh,CHITTOOR,2008,Rabi,Maize,957,8450
Andhra Pradesh,CHITTOOR,2009,Kharif,Maize,1326,4915
Andhra Pradesh,CHITTOOR,2009,Rabi,Maize,611,4466
Andhra Pradesh,CHITTOOR,2010,Kharif,Maize,970,4969
